;;;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
Brustdrüse (C50);0 - 44;weiblich;1;6.975;7.124;7.309;7.387;7.522;7.579;7.438;7.128;7.059;6.983;6.680;6.535;6.372;6.347;6.390;6.315;
Brustdrüse (C50);0 - 44;weiblich;2;12.409;13.046;13.351;13.584;13.714;13.880;13.785;13.346;12.967;12.839;12.480;12.103;11.824;11.705;11.769;11.752;
Brustdrüse (C50);0 - 44;männlich;1;23;27;23;24;20;25;29;18;26;22;18;20;25;26;23;24;
Brustdrüse (C50);0 - 44;männlich;2;41;45;45;42;39;41;48;41;40;41;35;34;41;45;43;42;
Brustdrüse (C50);45 - 54;weiblich;1;10.539;10.668;11.337;12.136;13.880;14.733;14.271;14.441;14.721;14.989;14.849;14.670;14.354;13.567;13.912;13.260;
Brustdrüse (C50);45 - 54;weiblich;2;20.544;20.719;21.529;22.887;25.431;27.726;28.022;27.818;28.303;28.785;28.891;28.502;27.977;26.785;26.413;25.993;
Brustdrüse (C50);45 - 54;männlich;1;44;46;42;50;42;54;52;47;65;63;68;59;70;57;62;60;
Brustdrüse (C50);45 - 54;männlich;2;78;84;81;86;86;90;99;92;104;119;123;116;119;117;110;112;
Brustdrüse (C50);55 - 64;weiblich;1;14.373;13.820;14.335;14.880;18.440;18.412;16.649;16.428;16.313;15.913;15.619;15.473;15.420;15.114;15.638;16.116;
Brustdrüse (C50);55 - 64;weiblich;2;28.726;27.132;27.166;28.313;32.320;35.575;33.980;32.254;32.000;31.615;30.952;30.574;30.393;30.060;30.157;31.223;
Brustdrüse (C50);55 - 64;männlich;1;103;117;96;116;106;115;132;102;143;119;119;113;126;133;131;138;
Brustdrüse (C50);55 - 64;männlich;2;196;202;192;195;202;203;229;215;229;244;220;218;223;244;245;252;
Brustdrüse (C50);65 - 74;weiblich;1;13.857;14.387;15.697;17.020;20.210;19.772;18.353;17.425;16.633;16.442;15.796;15.096;14.398;14.495;14.136;14.181;
Brustdrüse (C50);65 - 74;weiblich;2;27.736;28.209;29.861;32.453;36.977;39.996;37.986;35.323;33.439;32.368;31.522;30.134;28.853;28.394;28.188;27.970;
Brustdrüse (C50);65 - 74;männlich;1;158;181;159;222;156;212;225;199;229;231;185;175;191;172;185;184;
Brustdrüse (C50);65 - 74;männlich;2;293;326;325;366;357;354;416;402;405;432;387;337;346;340;341;350;
Brustdrüse (C50);75 und älter;weiblich;1;13.578;14.649;14.818;15.766;15.636;16.098;16.026;16.340;16.889;16.355;17.283;17.427;17.607;17.775;18.562;18.477;
Brustdrüse (C50);75 und älter;weiblich;2;26.365;27.618;28.884;29.954;30.748;31.155;31.578;31.881;32.820;32.833;33.251;34.301;34.472;34.714;35.585;36.123;
Brustdrüse (C50);75 und älter;männlich;1;142;172;164;188;144;175;206;227;258;266;264;215;275;265;276;290;
Brustdrüse (C50);75 und älter;männlich;2;285;317;337;350;335;318;385;438;487;528;532;478;488;539;536;564;
Niere (C64);0 - 44;weiblich;1;276;256;262;284;284;276;273;215;252;208;249;227;227;214;208;186;
Niere (C64);0 - 44;weiblich;2;483;494;479;506;526;516;507;445;435;424;424;440;420;410;394;365;
Niere (C64);0 - 44;männlich;1;508;531;539;513;497;519;453;462;453;433;454;433;407;384;374;363;
Niere (C64);0 - 44;männlich;2;916;960;987;967;928;930;884;835;835;805;810;809;768;726;701;679;
Niere (C64);45 - 54;weiblich;1;405;466;486;492;508;532;546;512;494;504;512;498;487;459;458;375;
Niere (C64);45 - 54;weiblich;2;810;836;901;924;940;984;1.013;994;931;938;945;942;920;882;852;764;
Niere (C64);45 - 54;männlich;1;1.086;1.061;1.203;1.073;1.107;1.170;1.206;1.243;1.211;1.201;1.278;1.266;1.127;994;1.071;1.040;
Niere (C64);45 - 54;männlich;2;2.009;2.022;2.149;2.124;2.054;2.164;2.247;2.294;2.300;2.266;2.336;2.380;2.226;1.965;1.926;1.952;
Niere (C64);55 - 64;weiblich;1;857;939;902;934;906;941;955;916;894;941;933;923;909;801;991;848;
Niere (C64);55 - 64;weiblich;2;1.736;1.654;1.717;1.718;1.725;1.735;1.794;1.776;1.740;1.748;1.797;1.775;1.750;1.617;1.719;1.743;
Niere (C64);55 - 64;männlich;1;2.088;2.057;2.098;1.967;1.840;1.920;2.048;2.038;2.090;2.040;2.104;2.102;2.090;2.074;2.102;1.980;
Niere (C64);55 - 64;männlich;2;3.799;3.877;3.872;3.839;3.542;3.503;3.749;3.885;3.934;3.923;3.932;4.025;4.004;3.957;3.930;3.858;
Niere (C64);65 - 74;weiblich;1;1.425;1.474;1.529;1.752;1.691;1.803;1.662;1.496;1.565;1.374;1.512;1.336;1.262;1.182;1.224;1.125;
Niere (C64);65 - 74;weiblich;2;2.795;2.805;2.897;3.165;3.285;3.338;3.286;2.979;2.876;2.757;2.717;2.669;2.447;2.323;2.291;2.249;
Niere (C64);65 - 74;männlich;1;2.407;2.633;2.790;3.212;3.016;3.147;3.008;2.744;2.831;2.867;2.595;2.602;2.469;2.345;2.364;2.326;
Niere (C64);65 - 74;männlich;2;4.742;4.877;5.243;5.758;5.951;5.902;5.843;5.419;5.277;5.386;5.149;4.886;4.781;4.564;4.516;4.485;
Niere (C64);75 und älter;weiblich;1;1.669;1.477;1.541;1.818;1.651;1.914;2.018;1.893;1.870;1.851;1.964;1.870;1.950;1.756;1.596;1.593;
Niere (C64);75 und älter;weiblich;2;2.976;3.092;2.975;3.317;3.418;3.521;3.899;3.860;3.729;3.678;3.771;3.812;3.763;3.637;3.275;3.128;
